Target,Target_Namespace,Target_Type,Target_Method,Job_Id,Job_AnalyzeLaunchVariance,Job_EvaluateOverhead,Job_MaxAbsoluteError,Job_MaxRelativeError,Job_MinInvokeCount,Job_MinIterationTime,Job_OutlierMode,Job_Affinity,Job_EnvironmentVariables,Job_Jit,Job_LargeAddressAware,Job_Platform,Job_PowerPlanMode,Job_Runtime,Job_AllowVeryLargeObjects,Job_Concurrent,Job_CpuGroups,Job_Force,Job_HeapAffinitizeMask,Job_HeapCount,Job_NoAffinitize,Job_RetainVm,Job_Server,Job_Arguments,Job_BuildConfiguration,Job_Clock,Job_EngineFactory,Job_NuGetReferences,Job_Toolchain,Job_IsMutator,Job_InvocationCount,Job_IterationCount,Job_IterationTime,Job_LaunchCount,Job_MaxIterationCount,Job_MaxWarmupIterationCount,Job_MemoryRandomization,Job_MinIterationCount,Job_MinWarmupIterationCount,Job_RunStrategy,Job_UnrollFactor,Job_WarmupCount,Job_Display,Params,Measurement_LaunchIndex,Measurement_IterationMode,Measurement_IterationStage,Measurement_IterationIndex,Measurement_Nanoseconds,Measurement_Operations,Measurement_Value,Gen_0,Gen_1,Gen_2,Allocated_Bytes
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Overhead,Jitting,1,156300,1,156300,52,36,15,3777666
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Workload,Jitting,1,9291400,1,9291400,52,36,15,3777666
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Overhead,Jitting,2,159700,16,9981.25,52,36,15,3777666
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Workload,Jitting,2,115269700,16,7204356.25,52,36,15,3777666
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Workload,Pilot,1,105944800,16,6621550,52,36,15,3777666
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Workload,Pilot,2,184004700,32,5750146.88,52,36,15,3777666
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Workload,Pilot,3,400553300,64,6258645.31,52,36,15,3777666
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Workload,Pilot,4,759646600,128,5934739.06,52,36,15,3777666
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Overhead,Warmup,1,1200,128,9.38,52,36,15,3777666
TrieVsDictVsMemCache.ConcurrentDictWithComparer,ConcurrentDictionaryBenchmark,TrieVsDictVsMemCache,ConcurrentDictWithComparer,DefaultJob,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,DefaultJob,UserSize=10000&GetOperations=10000&TenantSize=20,1,Overhead,Warmup,2,600,128,4.69,52,36,15,3777666
